Mann-Kendall Trend Test at 100 ADCIRC Sites
Significant (p < 0.05): 1 / 100
Expected by chance at 5%: 5
Median Sens slope: 0.00036 m/yr
Mean Sens slope: 0.00059 m/yr
Range: [-0.00224, 0.00528] m/yr

Site, Lat, Lon, N, MK_tau, MK_pvalue, Sens_slope
1, 24.6451, -97.6168, 43, -0.0432, 0.6909, -0.00036
2, 25.2619, -97.3749, 43, -0.0476, 0.6603, -0.00040
3, 25.8901, -97.0500, 43, -0.1096, 0.3051, -0.00135
4, 26.5391, -97.2627, 43, -0.1340, 0.2092, -0.00160
5, 27.1787, -97.3324, 43, -0.0963, 0.3681, -0.00120
6, 27.7864, -97.0753, 43, -0.0432, 0.6909, -0.00050
7, 28.2457, -96.5368, 43, 0.0122, 0.9167, 0.00016
8, 28.6063, -95.8977, 43, 0.0720, 0.5030, 0.00051
9, 28.9527, -95.2328, 43, 0.1429, 0.1804, 0.00181
10, 29.4048, -94.6699, 43, 0.1849, 0.0823, 0.00268
11, 29.6699, -93.9738, 43, 0.1096, 0.3051, 0.00255
12, 29.7297, -93.2067, 43, 0.0698, 0.5164, 0.00162
13, 29.5099, -92.4751, 43, 0.0698, 0.5164, 0.00091
14, 29.4280, -91.8316, 43, 0.0122, 0.9167, 0.00023
15, 29.1551, -91.1283, 43, 0.0078, 0.9499, 0.00014
16, 29.2087, -90.4028, 43, 0.0410, 0.7064, 0.00070
17, 29.3048, -89.6952, 43, 0.1008, 0.3463, 0.00129
18, 29.1096, -89.1033, 43, 0.1761, 0.0982, 0.00210
19, 29.5982, -89.5717, 43, 0.1517, 0.1547, 0.00374
20, 29.9775, -89.6068, 43, 0.1473, 0.1671, 0.00462
21, 30.2970, -89.1883, 43, 0.0875, 0.4143, 0.00252
22, 30.0998, -88.3659, 43, 0.0919, 0.3908, 0.00091
23, 30.2430, -88.0546, 43, -0.0233, 0.8342, -0.00046
24, 30.2398, -87.6497, 43, -0.0055, 0.9666, -0.00003
25, 30.2769, -87.4573, 43, -0.0144, 0.9001, -0.00018
26, 30.3440, -87.0072, 43, 0.0055, 0.9666, 0.00002
27, 30.3849, -86.6735, 43, 0.0100, 0.9333, 0.00010
28, 30.3634, -86.3770, 43, 0.0011, 1.0000, 0.00001
29, 30.1551, -85.8104, 43, 0.0055, 0.9666, 0.00013
30, 29.9539, -85.4997, 43, 0.0388, 0.7220, 0.00052
31, 29.6937, -85.3895, 43, 0.0609, 0.5720, 0.00066
32, 29.5302, -85.0539, 43, 0.1118, 0.2953, 0.00178
33, 30.0199, -84.3005, 43, 0.1894, 0.0752, 0.00528
34, 29.8851, -83.6650, 43, 0.1251, 0.2411, 0.00268
35, 29.3621, -83.2060, 43, 0.1539, 0.1487, 0.00360
36, 28.8830, -82.7591, 43, 0.1052, 0.3252, 0.00284
37, 28.2715, -82.8414, 43, 0.1805, 0.0900, 0.00344
38, 27.5859, -82.6776, 43, 0.1296, 0.2248, 0.00224
39, 27.2357, -82.5385, 43, 0.0698, 0.5164, 0.00085
40, 26.6482, -82.2555, 43, -0.0388, 0.7220, -0.00041
41, 26.1504, -81.8334, 43, -0.1473, 0.1671, -0.00165
42, 25.6250, -81.3284, 43, -0.0498, 0.6452, -0.00062
43, 25.1447, -80.8280, 43, -0.0808, 0.4511, -0.00126
44, 25.3875, -80.3003, 43, -0.0188, 0.8670, -0.00016
45, 26.0192, -80.0837, 43, 0.0831, 0.4387, 0.00054
46, 26.6566, -79.9962, 43, 0.0720, 0.5030, 0.00049
47, 27.2971, -80.2094, 43, 0.1251, 0.2411, 0.00124
48, 27.9171, -80.4409, 43, 0.1473, 0.1671, 0.00189
49, 28.5187, -80.5336, 43, 0.1517, 0.1547, 0.00223
50, 29.1443, -80.9384, 43, 0.1982, 0.0625, 0.00321
51, 29.7448, -81.2331, 43, 0.2115, 0.0468, 0.00384
52, 30.3871, -81.3772, 43, 0.1473, 0.1671, 0.00229
53, 30.9745, -81.3959, 43, 0.1096, 0.3051, 0.00189
54, 31.6119, -81.1085, 43, -0.0078, 0.9499, -0.00013
55, 32.1125, -80.7681, 43, -0.0299, 0.7855, -0.00027
56, 32.5561, -80.1652, 43, -0.0653, 0.5439, -0.00087
57, 32.9467, -79.5495, 43, -0.0720, 0.5030, -0.00132
58, 33.4564, -79.0829, 43, 0.0831, 0.4387, 0.00141
59, 33.8496, -78.4937, 43, 0.0055, 0.9666, 0.00008
60, 34.1327, -77.8302, 43, 0.0188, 0.8670, 0.00045
61, 34.5645, -77.2694, 43, -0.0055, 0.9666, -0.00018
62, 34.6688, -76.5130, 43, 0.0875, 0.4143, 0.00134
63, 35.0955, -75.9516, 43, 0.0321, 0.7695, 0.00049
64, 35.5199, -75.4638, 43, 0.0343, 0.7535, 0.00049
65, 36.1173, -75.6970, 43, 0.0587, 0.5863, 0.00090
66, 36.7461, -75.9349, 43, 0.0698, 0.5164, 0.00113
67, 36.9889, -76.2924, 43, 0.0631, 0.5578, 0.00115
68, 37.5333, -76.2819, 43, 0.0011, 1.0000, 0.00000
69, 38.0168, -76.3720, 43, -0.0343, 0.7535, -0.00026
70, 38.1985, -76.3566, 43, -0.0078, 0.9499, -0.00008
71, 38.6454, -76.5169, 43, -0.0277, 0.8017, -0.00045
72, 39.2403, -76.2579, 43, -0.1074, 0.3151, -0.00220
73, 39.1427, -76.2806, 43, -0.1185, 0.2673, -0.00224
74, 38.6579, -76.2928, 43, -0.0742, 0.4897, -0.00080
75, 38.0559, -75.9498, 43, -0.0919, 0.3908, -0.00103
76, 37.4051, -76.0435, 43, 0.0676, 0.5301, 0.00109
77, 37.0861, -75.7840, 43, 0.0011, 1.0000, 0.00003
78, 37.9508, -75.2725, 43, -0.0565, 0.6008, -0.00134
79, 38.5059, -75.0410, 43, -0.0476, 0.6603, -0.00080
80, 39.3579, -75.4356, 43, -0.0609, 0.5720, -0.00101
