"n_adcirc","station_id","lon","lat"
5,"26",-87.007176,30.343979
5,"44",-80.300302,25.387499
5,"58",-79.082938,33.456355
5,"9",-95.232775,28.952658
5,"99",-67.323142,44.645605
10,"26",-87.007176,30.343979
10,"3",-97.05,25.890136
10,"44",-80.300302,25.387499
10,"53",-81.395941,30.97451
10,"58",-79.082938,33.456355
10,"77",-75.784007,37.086104
10,"85",-73.646265,40.975936
10,"9",-95.232775,28.952658
10,"94",-70.560305,43.242952
10,"99",-67.323142,44.645605
15,"26",-87.007176,30.343979
15,"3",-97.05,25.890136
15,"35",-83.205983,29.362127
15,"39",-82.538461,27.235718
15,"44",-80.300302,25.387499
15,"49",-80.533599,28.518711
15,"53",-81.395941,30.97451
15,"58",-79.082938,33.456355
15,"62",-76.512957,34.668817
15,"77",-75.784007,37.086104
15,"80",-75.43559,39.357889
15,"85",-73.646265,40.975936
15,"9",-95.232775,28.952658
15,"94",-70.560305,43.242952
15,"99",-67.323142,44.645605
25,"12",-93.206691,29.729714
25,"14",-91.831634,29.428012
25,"16",-90.402808,29.208733
25,"21",-89.188313,30.29696
25,"26",-87.007176,30.343979
25,"3",-97.05,25.890136
25,"32",-85.053933,29.530221
25,"35",-83.205983,29.362127
25,"39",-82.538461,27.235718
25,"44",-80.300302,25.387499
25,"47",-80.209359,27.297137
25,"49",-80.533599,28.518711
25,"51",-81.233104,29.74479
25,"53",-81.395941,30.97451
25,"56",-80.165169,32.556119
25,"58",-79.082938,33.456355
25,"60",-77.830178,34.132672
25,"62",-76.512957,34.668817
25,"77",-75.784007,37.086104
25,"80",-75.43559,39.357889
25,"85",-73.646265,40.975936
25,"89",-70.909679,41.527518
25,"9",-95.232775,28.952658
25,"94",-70.560305,43.242952
25,"99",-67.323142,44.645605
50,"1",-97.616839,24.645058
50,"10",-94.669877,29.40482
50,"11",-93.973753,29.669895
50,"12",-93.206691,29.729714
50,"14",-91.831634,29.428012
50,"16",-90.402808,29.208733
50,"18",-89.103282,29.10959
50,"2",-97.374908,25.26194
50,"21",-89.188313,30.29696
50,"23",-88.054639,30.243015
50,"26",-87.007176,30.343979
50,"29",-85.810354,30.155101
50,"3",-97.05,25.890136
50,"32",-85.053933,29.530221
50,"34",-83.664962,29.885109
50,"35",-83.205983,29.362127
50,"37",-82.841436,28.27148
50,"39",-82.538461,27.235718
50,"41",-81.833361,26.150396
50,"42",-81.328353,25.625017
50,"44",-80.300302,25.387499
50,"46",-79.996198,26.656553
50,"47",-80.209359,27.297137
50,"49",-80.533599,28.518711
50,"5",-97.332384,27.178669
50,"50",-80.938394,29.144342
50,"51",-81.233104,29.74479
50,"53",-81.395941,30.97451
50,"55",-80.768085,32.112539
50,"56",-80.165169,32.556119
50,"58",-79.082938,33.456355
50,"6",-97.07528,27.786439
50,"60",-77.830178,34.132672
50,"62",-76.512957,34.668817
50,"65",-75.696986,36.117318
50,"7",-96.536788,28.245732
50,"74",-76.292843,38.657902
50,"77",-75.784007,37.086104
50,"79",-75.041034,38.505854
50,"8",-95.89774,28.606337
50,"80",-75.43559,39.357889
50,"82",-74.449201,39.330679
50,"83",-74.051539,39.897844
50,"85",-73.646265,40.975936
50,"87",-72.161039,41.301734
50,"89",-70.909679,41.527518
50,"9",-95.232775,28.952658
50,"94",-70.560305,43.242952
50,"97",-68.84489,44.409948
50,"99",-67.323142,44.645605
75,"1",-97.616839,24.645058
75,"10",-94.669877,29.40482
75,"100",-66.740037,45.032869
75,"11",-93.973753,29.669895
75,"12",-93.206691,29.729714
